match_id,team,player,starter,position,role,formation,confidence,confirmed,source,updated_at
,Switzerland,Michel Aebischer,0,MF,Central Midfield,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Marvin Keller,0,GK,Goalkeeper,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Fabian Rieder,0,MF,Attacking Midfield,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Zeki Amdouni,0,FW,Centre-Forward,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Aurèle Amenda,0,DF,Centre-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Luca Jaquez,0,DF,Centre-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Cedric Itten,0,FW,Centre-Forward,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Alisson,1,GK,Goalkeeper,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Éderson Silva,0,MF,,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Gabriel Magalhães,0,DF,,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Marquinhos,1,DF,Centre-Back,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Casemiro,1,MF,Defensive Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Alex Sandro,1,DF,Left-Back,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Vinícius Júnior,1,FW,Left Winger,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Bruno Guimarães,1,MF,Central Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Matheus Cunha,0,FW,Centre-Forward,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Neymar,1,FW,Attacking Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Raphinha,1,FW,Left Winger,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Weverton,0,GK,Goalkeeper,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Danilo Luiz,0,DF,,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Bremer,1,DF,Centre-Back,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Léo Pereira,0,DF,Centre-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Douglas Santos,0,DF,Left-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Fabinho,1,MF,Defensive Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Danilo Santos,0,MF,,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Endrick,0,FW,Centre-Forward,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Lucas Paquetá,1,MF,Attacking Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Luiz Henrique,0,FW,Right Winger,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Gabriel Martinelli,0,FW,Left Winger,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Ederson Moraes,0,GK,,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Roger Ibañez,0,DF,Centre-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Igor Thiago,0,FW,Centre-Forward,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Brazil,Rayan,0,FW,Right Winger,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Johny Placide,1,GK,Goalkeeper,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Carlens Arcus,1,DF,Right-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Keeto Thermoncy,0,DF,Centre-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Ricardo Adé,1,DF,Centre-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Hannes Delcroix,1,DF,Centre-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Carl Sainté,1,MF,Defensive Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Derrick Etienne Jr.,1,FW,Left Winger,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Martin Expérience,0,DF,Left-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Duckens Nazon,1,FW,Centre-Forward,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Jean-Ricner Bellegarde,1,MF,Central Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Louicius Deedson,0,FW,Right Winger,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Alexandre Pierre,0,GK,Goalkeeper,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Duke Lacroix,0,DF,Left-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Garven Metusala,0,DF,Centre-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Ruben Providence,0,FW,Left Winger,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Lenny Joseph,0,FW,Centre-Forward,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Danley Jean Jacques,1,MF,Defensive Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Wilson Isidor,0,FW,Centre-Forward,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Yassin Fortuné,0,FW,Centre-Forward,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Frantzdy Pierrot,1,FW,Centre-Forward,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Josué Casimir,0,FW,Right Winger,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Jean-Kévin Duverne,1,DF,Centre-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Josué Duverger,0,GK,Goalkeeper,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Wilguens Paugain,0,DF,Right-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Dominique Simon,0,MF,Defensive Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Haiti,Woodensky Pierre,0,MF,Defensive Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Yassine Bounou,1,GK,Goalkeeper,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Achraf Hakimi,1,DF,Right-Back,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Noussair Mazraoui,1,DF,Right-Back,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Sofyan Amrabat,1,MF,Defensive Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Marwane Saâdane,0,DF,Centre-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Ayyoub Bouaddi,0,MF,Central Midfield,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Chemsdine Talbi,0,MF,Right Winger,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Azzedine Ounahi,1,MF,Central Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Soufiane Rahimi,1,FW,Centre-Forward,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Brahim Díaz,1,FW,Right Winger,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Ismael Saibari,1,MF,Attacking Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Munir Mohamedi,0,GK,,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Zakaria El Ouahdi,0,DF,Right-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Issa Diop,0,DF,Centre-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Samir El Mourabet,0,MF,Central Midfield,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Gessime Yassine,0,MF,Right Winger,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Amine Sbaï,0,FW,Left Winger,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Chadi Riad,1,DF,Centre-Back,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Youssef Belammari,0,DF,Left-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Ayoub El Kaabi,1,FW,Centre-Forward,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Ayoube Amaimouni,0,FW,,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Ahmed Reda Tagnaouti,0,GK,Goalkeeper,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Bilal El Khannouss,1,MF,Attacking Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Neil El Aynaoui,0,MF,Central Midfield,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Redouane Halhal,0,DF,Centre-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Morocco,Anass Salah-Eddine,0,DF,Left-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Angus Gunn,0,GK,Goalkeeper,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Aaron Hickey,1,DF,Right-Back,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Andy Robertson,0,DF,,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Scott McTominay,1,MF,Central Midfield,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Grant Hanley,0,DF,Centre-Back,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Kieran Tierney,1,DF,Left-Back,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,John McGinn,1,MF,Central Midfield,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Tyler Fletcher,0,MF,Central Midfield,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Lyndon Dykes,1,FW,Centre-Forward,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Ché Adams,1,FW,Centre-Forward,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Ryan Christie,1,MF,Central Midfield,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Liam Kelly,0,GK,Goalkeeper,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Jack Hendry,0,DF,Centre-Back,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Ross Stewart,0,FW,Centre-Forward,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,John Souttar,0,DF,Centre-Back,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Dominic Hyam,0,DF,Centre-Back,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Ben Gannon-Doak,0,FW,Right Winger,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,George Hirst,0,FW,Centre-Forward,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Lewis Ferguson,1,MF,Central Midfield,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Lawrence Shankland,0,FW,Centre-Forward,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Craig Gordon,1,GK,Goalkeeper,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Nathan Patterson,1,DF,Right-Back,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Kenny McLean,0,MF,Central Midfield,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Anthony Ralston,0,DF,Right-Back,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Findlay Curtis,0,FW,Left Winger,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Scotland,Scott McKenna,1,DF,Centre-Back,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Mathew Ryan,1,GK,Goalkeeper,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Miloš Degenek,1,DF,Centre-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Alessandro Circati,0,DF,Centre-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Jacob Italiano,0,DF,Right-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Jordan Bos,1,DF,Left-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Jason Geria,0,DF,Right-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Mathew Leckie,1,FW,Left Winger,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Connor Metcalfe,1,MF,Central Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Mohamed Touré,0,FW,Centre-Forward,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Ajdin Hrustic,0,FW,Central Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Awer Mabil,1,FW,Left Winger,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Paul Izzo,0,GK,Goalkeeper,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Aiden O'Neill,1,MF,Defensive Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Cammy Devlin,0,MF,Central Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Kai Trewin,0,DF,Defensive Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Aziz Behich,1,DF,Left-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Nestory Irankunda,1,FW,Right Winger,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Patrick Beach,0,GK,Goalkeeper,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Harry Souttar,1,DF,Centre-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Cristian Volpato,0,FW,Attacking Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Cameron Burgess,0,DF,Centre-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Jackson Irvine,1,MF,Central Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Nishan Velupillay,0,FW,Left Winger,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Paul Okon-Engstler,0,MF,Defensive Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Lucas Herrington,0,DF,Centre-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Australia,Tete Yengi,0,FW,Centre-Forward,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Gatito Fernández,0,GK,,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Gustavo Velázquez,0,DF,Centre-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Omar Alderete,1,DF,Centre-Back,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Juan José Cáceres,0,DF,Right-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Fabián Balbuena,0,DF,Centre-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Júnior Alonso,1,DF,Centre-Back,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Ramón Sosa,1,MF,Second Striker,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Diego Gómez,1,MF,Central Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Antonio Sanabria,1,FW,Centre-Forward,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Miguel Almirón,1,MF,Right Winger,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Maurício,0,MF,Attacking Midfield,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Orlando Gill,1,GK,Goalkeeper,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,José Canale,0,DF,Centre-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Andrés Cubas,1,MF,Defensive Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Gustavo Gómez,1,DF,Centre-Back,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Damián Bobadilla,0,MF,Central Midfield,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Kaku,1,FW,Attacking Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Álex Arce,0,FW,Centre-Forward,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Julio Enciso,1,FW,Attacking Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Braian Ojeda,0,MF,Defensive Midfield,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Gabriel Ávalos,0,FW,Centre-Forward,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Gastón Olveira,0,GK,Goalkeeper,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Matías Galarza,0,MF,Central Midfield,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Gustavo Caballero,0,MF,Left Winger,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Isidro Pitta,0,FW,Centre-Forward,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Paraguay,Alexandro Maidana,0,DF,Left-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Mert Günok,0,GK,Goalkeeper,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Zeki Çelik,1,DF,Right-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Merih Demiral,1,DF,Centre-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Çağlar Söyüncü,1,DF,Centre-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Salih Özcan,0,MF,Defensive Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Orkun Kökçü,1,MF,Central Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Kerem Aktürkoğlu,1,FW,Left Winger,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Arda Güler,1,FW,Attacking Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Deniz Gül,0,FW,Centre-Forward,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Hakan Çalhanoğlu,1,MF,Defensive Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Kenan Yıldız,1,FW,Left Winger,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Altay Bayındır,0,GK,Goalkeeper,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Eren Elmalı,0,DF,Left-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Abdülkerim Bardakcı,0,DF,Centre-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Ozan Kabak,0,DF,Centre-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,İsmail Yüksek,0,MF,Defensive Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,İrfan Can Kahveci,0,FW,Right Winger,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Mert Müldür,0,DF,Right-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Yunus Akgün,0,FW,Right Winger,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Ferdi Kadıoğlu,1,DF,Left-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Barış Alper Yılmaz,0,FW,Left Winger,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Kaan Ayhan,1,MF,Defensive Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Uğurcan Çakır,1,GK,Goalkeeper,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Oğuz Aydın,0,FW,Right Winger,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Samet Akaydin,0,DF,Centre-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Turkiye,Can Uzun,0,FW,Attacking Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,USA,Matt Turner,1,GK,Goalkeeper,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,USA,Sergiño Dest,1,DF,Right-Back,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,USA,Chris Richards,1,DF,Centre-Back,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,USA,Tyler Adams,1,MF,Defensive Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,USA,Antonee Robinson,1,DF,Left-Back,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,USA,Auston Trusty,0,DF,Centre-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,USA,Giovanni Reyna,1,MF,Attacking Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,USA,Weston McKennie,1,MF,Central Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,USA,Ricardo Pepi,0,FW,Centre-Forward,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,USA,Christian Pulisic,1,FW,Right Winger,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,USA,Brenden Aaronson,1,FW,Attacking Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,USA,Miles Robinson,0,DF,Centre-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,USA,Tim Ream,0,DF,Centre-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,USA,Sebastian Berhalter,0,MF,Central Midfield,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,USA,Cristian Roldan,0,MF,Central Midfield,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,USA,Alex Freeman,0,DF,Right-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
