team,player,position,scoring_weight,starter,penalty_taker
Japan,Ayase Ueda,FW,98.54,1,1
Japan,Kōki Ogawa,FW,91.5,0,0
Japan,Ayumu Seko,DF,36.43,0,0
Japan,Hiroki Itō,DF,39.94,1,0
Japan,Takehiro Tomiyasu,DF,40.24,1,0
Japan,Tomoki Hayakawa,GK,24.72,0,0
Japan,Kaishū Sano,MF,64.63,0,0
Japan,Junnosuke Suzuki,DF,34.87,0,0
Japan,Kento Shiogai,FW,90.69,0,0
Netherlands,Bart Verbruggen,GK,32.49,1,0
Netherlands,Jurriën Timber,DF,41.89,1,0
Netherlands,Marten de Roon,MF,64.53,0,0
Netherlands,Virgil van Dijk,DF,49.05,1,0
Netherlands,Nathan Aké,DF,44.52,1,0
Netherlands,Jan Paul van Hecke,DF,39.57,0,0
Netherlands,Justin Kluivert,MF,63.76,0,0
Netherlands,Ryan Gravenberch,MF,67.58,1,0
Netherlands,Wout Weghorst,FW,96.46,0,0
Netherlands,Memphis Depay,FW,104.63,1,1
Netherlands,Cody Gakpo,FW,102.18,1,0
Netherlands,Mats Wieffer,DF,39.35,0,0
Netherlands,Robin Roefs,GK,28.58,0,0
Netherlands,Tijjani Reijnders,MF,68.79,1,0
Netherlands,Micky van de Ven,DF,41.08,0,0
Netherlands,Guus Til,MF,62.42,0,0
Netherlands,Noa Lang,FW,94.31,0,0
Netherlands,Donyell Malen,FW,101.32,1,0
Netherlands,Brian Brobbey,FW,94.05,0,0
Netherlands,Teun Koopmeiners,MF,65.48,0,0
Netherlands,Frenkie de Jong,MF,71.71,1,0
Netherlands,Denzel Dumfries,DF,48.53,1,0
Netherlands,Mark Flekken,GK,27.35,0,0
Netherlands,Crysencio Summerville,FW,92.93,0,0
Netherlands,Jorrel Hato,DF,39.01,0,0
Netherlands,Quinten Timber,MF,63.86,0,0
Sweden,Jacob Widell Zetterström,GK,24.96,0,0
Sweden,Gustaf Lagerbielke,DF,37.49,0,0
Sweden,Victor Lindelöf,DF,44.77,1,0
Sweden,Isak Hien,DF,40.53,1,0
Sweden,Gabriel Gudmundsson,DF,39.76,1,0
Sweden,Herman Johansson,DF,33.43,0,0
Sweden,Lucas Bergvall,MF,63.92,1,0
Sweden,Daniel Svensson,DF,38.55,1,0
Sweden,Alexander Isak,FW,103.47,1,0
Sweden,Benjamin Nygren,MF,63.26,0,0
Sweden,Anthony Elanga,FW,97.03,1,0
Sweden,Viktor Johansson,GK,28.58,1,0
Sweden,Ken Sema,MF,61.97,0,0
Sweden,Hjalmar Ekdal,DF,36.18,0,0
Sweden,Carl Starfelt,DF,36.8,0,0
Sweden,Jesper Karlström,MF,62.31,0,0
Sweden,Viktor Gyökeres,FW,100.2,1,1
Sweden,Yasin Ayari,MF,65.96,1,0
Sweden,Mattias Svanberg,MF,65.85,1,0
Sweden,Eric Smith,DF,34.82,0,0
Sweden,Alexander Bernhardsson,DF,35.11,0,0
Sweden,Besfort Zeneli,MF,60.39,0,0
Sweden,Kristoffer Nordfeldt,GK,22.8,0,0
Sweden,Elliot Stroud,DF,33.88,0,0
Sweden,Gustaf Nilsson,FW,89.73,0,0
Sweden,Taha Ali,FW,87.53,0,0
Tunisia,Mouhib Chamakh,GK,1.25,0,0
Tunisia,Ali Abdi,DF,40.49,1,1
Tunisia,Montassar Talbi,DF,44.14,1,0
Tunisia,Omar Rekik,DF,31.63,0,0
Tunisia,Adem Arous,DF,34.46,0,0
Tunisia,Dylan Bronn,DF,38.18,1,0
Tunisia,Elias Achouri,FW,92.98,1,0
Tunisia,Elias Saad,FW,90.6,1,0
Tunisia,Hazem Mastouri,FW,89.69,0,0
Tunisia,Hannibal Mejbri,MF,40.79,0,0
Tunisia,Ismaël Gharbi,MF,62.12,1,0
Tunisia,Mortadha Ben Ouanes,DF,34.87,0,0
Tunisia,Rani Khedira,MF,58.6,0,0
Tunisia,Khalil Ayari,MF,57.49,0,0
Tunisia,Hadj Mahmoud,MF,35.99,0,0
Tunisia,Aymen Dahmen,GK,27.34,1,0
Tunisia,Ellyes Skhiri,MF,70.49,1,0
Tunisia,Rayan Elloumi,FW,87.13,0,0
Tunisia,Firas Chaouat,FW,91.77,1,0
Tunisia,Yan Valery,DF,35.49,0,0
Tunisia,Mohamed Amine Ben Hamida,DF,33.6,0,0
Tunisia,Sabri Ben Hessen,GK,22.41,0,0
Tunisia,Moutaz Neffati,DF,32.57,0,0
Tunisia,Raed Chikhaoui,DF,31.3,0,0
Tunisia,Anis Ben Slimane,MF,65.19,1,0
Tunisia,Sebastian Tounekti,MF,61.28,1,0
Belgium,Thibaut Courtois,GK,37.65,1,0
Belgium,Zeno Debast,DF,40.89,0,0
Belgium,Arthur Theate,DF,40.96,1,0
Belgium,Brandon Mechele,DF,35.09,0,0
Belgium,Maxim De Cuyper,DF,40.19,0,0
Belgium,Axel Witsel,MF,70.26,1,0
Belgium,Kevin De Bruyne,MF,74.85,1,0
Belgium,Youri Tielemans,MF,75.39,1,0
Belgium,Romelu Lukaku,FW,104.39,1,1
Belgium,Leandro Trossard,FW,99.35,1,0
Belgium,Jérémy Doku,FW,100.13,1,0
Belgium,Senne Lammens,GK,29.06,0,0
Belgium,Mike Penders,GK,28.27,0,0
Belgium,Dodi Lukébakio,FW,95.68,0,0
Belgium,Thomas Meunier,DF,44.79,1,0
Belgium,Koni De Winter,DF,38.13,0,0
Belgium,Charles De Ketelaere,FW,96.79,0,0
Belgium,Joaquin Seys,DF,37.27,0,0
Belgium,Diego Moreira,MF,62.52,0,0
Belgium,Hans Vanaken,MF,65.64,0,0
Belgium,Timothy Castagne,DF,43.57,1,0
Belgium,Alexis Saelemaekers,MF,65.33,0,0
Belgium,Nicolas Raskin,MF,62.81,0,0
Belgium,Amadou Onana,MF,66.9,1,0
Belgium,Nathan Ngoy,DF,37.64,0,0
Belgium,Matias Fernandez-Pardo,FW,92.93,0,0
Egypt,Mohamed El Shenawy,GK,31.41,1,0
Egypt,Yasser Ibrahim,DF,32.26,0,0
Egypt,Mohamed Hany,DF,37.84,1,0
Egypt,Hossam Abdelmaguid,DF,34.84,0,0
Egypt,Ramy Rabia,DF,37.87,1,0
Egypt,Mohamed Abdelmonem,DF,38.59,1,0
Egypt,Trézéguet,FW,102.38,1,0
Egypt,Emam Ashour,MF,62.8,1,0
Egypt,Hamza Abdelkarim,FW,87.24,0,0
Egypt,Mohamed Salah,FW,106.47,1,1
Egypt,Mostafa Ziko,MF,58.41,0,0
Egypt,Haissem Hassan,FW,89.71,0,0
Egypt,Ahmed Fatouh,DF,37.05,1,0
Egypt,Hamdy Fathy,MF,66.41,1,0
Egypt,Karim Hafez,DF,32.54,0,0
Egypt,El Mahdy Soliman,GK,1.0,0,0
Egypt,Mohanad Lasheen,MF,61.6,1,0
Egypt,Nabil Emad,MF,36.48,0,0
Egypt,Marwan Attia,MF,39.31,0,0
Egypt,Ibrahim Adel,FW,91.82,0,0
Egypt,Mahmoud Saber,MF,59.85,0,0
Egypt,Omar Marmoush,FW,100.73,1,0
Egypt,Mostafa Shobeir,GK,1.99,0,0
Egypt,Tarek Alaa,DF,30.15,0,0
Egypt,Zizo,FW,97.44,0,0
Egypt,Mohamed Alaa,GK,23.41,0,0
IR Iran,Alireza Beiranvand,GK,32.33,1,0
IR Iran,Saleh Hardani,DF,34.09,0,0
IR Iran,Ehsan Hajsafi,DF,41.37,1,0
IR Iran,Shojae Khalilzadeh,DF,17.5,0,0
IR Iran,Milad Mohammadi,DF,41.46,1,0
IR Iran,Saeid Ezatolahi,MF,45.12,0,0
IR Iran,Alireza Jahanbakhsh,MF,70.02,1,0
IR Iran,Mohammad Mohebi,MF,66.19,1,0
IR Iran,Mehdi Taremi,FW,102.98,1,1
IR Iran,Mehdi Ghayedi,FW,94.4,1,0
IR Iran,Ali Alipour,FW,89.7,0,0
IR Iran,Payam Niazmand,GK,24.4,0,0
IR Iran,Hossein Kanaanizadegan,DF,19.27,0,0
IR Iran,Saman Ghoddos,MF,66.38,1,0
IR Iran,Rouzbeh Cheshmi,MF,40.62,0,0
IR Iran,Mehdi Torabi,MF,65.42,1,0
IR Iran,Aria Yousefi,DF,11.83,0,0
IR Iran,Amirhossein Hosseinzadeh,FW,91.13,1,0
IR Iran,Ali Nemati,DF,33.14,0,0
IR Iran,Shahriyar Moghanlou,FW,67.73,0,0
IR Iran,Mohammad Ghorbani,MF,59.27,0,0
IR Iran,Hossein Hosseini,GK,2.61,0,0
IR Iran,Ramin Rezaeian,DF,40.51,1,0
IR Iran,Dennis Eckert,FW,65.0,0,0
IR Iran,Danial Eiri,DF,32.12,0,0
IR Iran,Amirmohammad Razzaghinia,MF,57.78,0,0
New Zealand,Max Crocombe,GK,25.96,1,0
New Zealand,Tim Payne,DF,37.3,1,0
New Zealand,Francis de Vries,DF,33.88,0,0
New Zealand,Tyler Bindon,DF,37.77,1,0
New Zealand,Michael Boxall,DF,36.98,1,0
New Zealand,Joe Bell,MF,63.18,1,0
New Zealand,Matthew Garbett,MF,61.42,0,0
New Zealand,Marko Stamenić,MF,64.25,1,0
New Zealand,Chris Wood,FW,104.09,1,1
New Zealand,Sarpreet Singh,MF,60.02,0,0
New Zealand,Elijah Just,MF,65.93,1,0
New Zealand,Alex Paulsen,GK,23.52,0,0
New Zealand,Liberato Cacace,DF,38.26,1,0
New Zealand,Alex Rufer,MF,59.39,0,0
New Zealand,Nando Pijnaker,DF,33.62,0,0
New Zealand,Finn Surman,DF,35.74,0,0
New Zealand,Kosta Barbarouses,FW,95.76,1,0
New Zealand,Ben Waine,FW,90.64,0,0
New Zealand,Ben Old,MF,61.35,0,0
New Zealand,Callum McCowatt,MF,63.32,1,0
New Zealand,Jesse Randall,FW,88.44,0,0
New Zealand,Michael Woud,GK,22.39,0,0
New Zealand,Ryan Thomas,MF,60.2,0,0
New Zealand,Callan Elliot,DF,32.08,0,0
New Zealand,Lachlan Bayliss,MF,56.53,0,0
New Zealand,Tommy Smith,DF,34.7,0,0
Cabo Verde,Vozinha,GK,28.22,1,0
Cabo Verde,Stopira,DF,35.77,1,0
Cabo Verde,Diney,DF,14.16,0,0
Cabo Verde,Roberto Lopes,DF,35.47,0,0
Cabo Verde,Logan Costa,DF,40.09,1,0
Cabo Verde,Kevin Pina,MF,39.51,0,0
Cabo Verde,Jovane Cabral,MF,60.79,0,0
Cabo Verde,João Paulo,MF,61.85,1,0
Cabo Verde,Gilson Benchimol,FW,68.49,0,0
Cabo Verde,Jamiro Monteiro,MF,64.24,1,0
Cabo Verde,Garry Rodrigues,MF,64.52,1,0
Cabo Verde,Márcio Rosa,GK,22.67,0,0
Cabo Verde,Sidny Lopes Cabral,DF,36.13,1,0
Cabo Verde,Deroy Duarte,MF,61.77,1,0
Cabo Verde,Laros Duarte,MF,58.95,0,0
Cabo Verde,Yannick Semedo,MF,56.65,0,0
Cabo Verde,Willy Semedo,MF,62.15,1,0
Cabo Verde,Telmo Arcanjo,MF,60.96,0,0
Cabo Verde,Dailon Livramento,FW,90.26,0,0
Cabo Verde,Ryan Mendes,FW,97.27,1,1
Cabo Verde,Nuno da Costa,MF,56.87,0,0
Cabo Verde,Steven Moreira,DF,35.12,0,0
Cabo Verde,CJ dos Santos,GK,23.24,0,0
Cabo Verde,Wagner Pina,DF,37.57,1,0
Cabo Verde,Kelvin Pires,DF,31.03,0,0
Cabo Verde,Hélio Varela,MF,59.88,0,0
Saudi Arabia,Nawaf Al-Aqidi,GK,25.27,0,0
Saudi Arabia,Ali Majrashi,DF,34.88,0,0
Saudi Arabia,Ali Lajami,DF,34.46,0,0
Saudi Arabia,Abdulelah Al-Amri,DF,37.42,1,0
Saudi Arabia,Hassan Al-Tambakti,DF,16.31,0,0
Saudi Arabia,Nasser Al-Dawsari,MF,61.96,1,0
Saudi Arabia,Musab Al-Juwayr,MF,64.96,1,0
Saudi Arabia,Ayman Yahya,FW,90.75,0,0
Saudi Arabia,Firas Al-Buraikan,FW,99.8,1,0
Saudi Arabia,Salem Al-Dawsari,FW,100.78,1,1
Saudi Arabia,Saleh Al-Shehri,FW,95.28,1,0
Saudi Arabia,Saud Abdulhamid,DF,42.42,1,0
Saudi Arabia,Nawaf Boushal,DF,35.63,1,0
Saudi Arabia,Hassan Kadesh,DF,32.99,0,0
Saudi Arabia,Abdullah Al-Khaibari,MF,61.46,1,0
Saudi Arabia,Ziyad Al-Johani,MF,58.12,0,0
Saudi Arabia,Khalid Al-Ghannam,FW,87.57,0,0
Saudi Arabia,Alaa Al-Hejji,MF,35.12,0,0
Saudi Arabia,Abdullah Al-Hamdan,FW,92.67,0,0
Saudi Arabia,Sultan Mandash,FW,86.4,0,0
Saudi Arabia,Mohammed Al-Owais,GK,28.99,1,0
Saudi Arabia,Ahmed Al-Kassar,GK,21.32,0,0
Saudi Arabia,Mohamed Kanno,MF,68.03,1,0
Saudi Arabia,Moteb Al-Harbi,DF,33.77,0,0
Saudi Arabia,Jehad Thakri,DF,32.69,0,0
Saudi Arabia,Mohammed Abu Al-Shamat,DF,33.28,0,0
Spain,David Raya,GK,30.05,0,0
Spain,Marc Pubill,DF,37.45,0,0
Spain,Álex Grimaldo,DF,11.48,0,0
Spain,Eric García,DF,40.16,0,0
Spain,Marcos Llorente,DF,39.91,0,0
Spain,Mikel Merino,MF,69.59,1,0
Spain,Ferran Torres,FW,103.14,1,0
Spain,Fabián Ruiz,MF,68.99,1,0
Spain,Gavi,MF,67.15,0,0
Spain,Dani Olmo,FW,101.16,1,0
Spain,Yéremy Pino,FW,95.68,0,0
Spain,Pedro Porro,DF,39.79,0,0
Spain,Joan Garcia,GK,29.15,0,0
Spain,Aymeric Laporte,DF,41.53,1,0
Spain,Álex Baena,MF,65.52,0,0
Spain,Rodri,MF,71.83,1,0
Spain,Nico Williams,FW,97.86,0,0
Spain,Martín Zubimendi,MF,67.8,0,0
Spain,Lamine Yamal,FW,99.47,0,0
Spain,Pedri,MF,71.21,1,0
Spain,Mikel Oyarzabal,FW,101.79,1,1
Spain,Pau Cubarsí,DF,40.49,1,0
Spain,Unai Simón,GK,35.32,1,0
Spain,Marc Cucurella,DF,41.45,1,0
Spain,Víctor Muñoz,FW,92.29,0,0
Spain,Borja Iglesias,FW,89.62,0,0
Uruguay,Sergio Rochet,GK,28.39,0,0
Uruguay,José María Giménez,DF,47.8,1,0
Uruguay,Sebastián Cáceres,DF,37.5,0,0
Uruguay,Ronald Araújo,DF,40.48,1,0
Uruguay,Manuel Ugarte,MF,66.95,1,0
Uruguay,Rodrigo Bentancur,MF,71.75,1,0
Uruguay,Nicolás de la Cruz,MF,65.78,1,0
Uruguay,Federico Valverde,MF,75.84,1,0
Uruguay,Darwin Núñez,FW,98.64,1,0
Uruguay,Giorgian de Arrascaeta,MF,71.69,1,1
Uruguay,Facundo Pellistri,FW,95.07,1,0
Uruguay,Santiago Mele,GK,25.22,0,0
Uruguay,Guillermo Varela,DF,35.58,0,0
Uruguay,Agustín Canobbio,MF,62.53,0,0
Uruguay,Emiliano Martínez,MF,61.35,0,0
Uruguay,Mathías Olivera,DF,41.23,1,0
Uruguay,Matías Viña,DF,39.67,0,0
Uruguay,Brian Rodríguez,FW,94.92,0,0
Uruguay,Rodrigo Aguirre,FW,90.07,0,0
Uruguay,Maximiliano Araújo,MF,39.14,0,0
Uruguay,Federico Viñas,FW,90.96,0,0
Uruguay,Joaquín Piquerez,MF,63.45,0,0
Uruguay,Fernando Muslera,GK,32.45,1,0
Uruguay,Santiago Bueno,DF,36.79,0,0
Uruguay,Juan Manuel Sanabria,MF,60.18,0,0
Uruguay,Rodrigo Zalazar,MF,64.0,0,0
France,Brice Samba,GK,26.73,0,0
France,Malo Gusto,DF,38.92,0,0
France,Lucas Digne,DF,41.92,0,0
France,Dayot Upamecano,DF,43.82,1,0
France,Jules Koundé,DF,44.49,1,0
France,Manu Koné,MF,64.87,0,0
France,Ousmane Dembélé,FW,102.57,1,0
France,Aurélien Tchouaméni,MF,70.15,1,0
France,Marcus Thuram,FW,97.85,1,0
France,Kylian Mbappé,FW,110.0,1,1
France,Michael Olise,FW,97.51,0,0
France,Bradley Barcola,FW,96.53,0,0
France,N'Golo Kanté,MF,68.08,1,0
France,Adrien Rabiot,MF,70.37,1,0
France,Ibrahima Konaté,DF,41.55,0,0
France,Mike Maignan,GK,32.62,1,0
France,William Saliba,DF,43.33,1,0
France,Warren Zaïre-Emery,MF,65.6,0,0
France,Théo Hernandez,DF,43.1,1,0
France,Désiré Doué,FW,95.78,0,0
France,Lucas Hernandez,DF,41.82,0,0
France,Jean-Philippe Mateta,FW,93.19,0,0
France,Robin Risser,GK,28.56,0,0
France,Rayan Cherki,MF,65.17,0,0
France,Maghnes Akliouche,MF,64.47,0,0
France,Maxence Lacroix,DF,38.63,0,0
Iraq,Fahad Talib,GK,24.15,0,0
Iraq,Rebin Sulaka,DF,35.34,1,0
Iraq,Hussein Ali,DF,33.51,0,0
Iraq,Zaid Tahseen,DF,34.74,1,0
Iraq,Akam Hashim,DF,11.71,0,0
Iraq,Manaf Younis,DF,34.38,0,0
Iraq,Youssef Amyn,MF,59.7,1,0
Iraq,Ibrahim Bayesh,MF,67.72,1,0
Iraq,Ali Al-Hamadi,FW,90.64,0,0
Iraq,Mohanad Ali,FW,99.67,1,0
Iraq,Ahmed Qasem,FW,89.25,0,0
Iraq,Jalal Hassan,GK,30.8,1,0
Iraq,Ali Yousif,FW,85.41,0,0
Iraq,Zidane Iqbal,MF,60.41,1,0
Iraq,Ahmed Yahya,DF,33.19,0,0
Iraq,Amir Al-Ammari,MF,63.6,1,0
Iraq,Ali Jasim,FW,90.75,1,0
Iraq,Aymen Hussein,FW,99.79,1,1
Iraq,Kevin Yakob,MF,57.72,0,0
Iraq,Aimar Sher,MF,58.51,0,0
Iraq,Marko Farji,FW,89.3,0,0
Iraq,Ahmed Basil,GK,2.73,0,0
Iraq,Merchas Doski,DF,36.68,1,0
Iraq,Zaid Ismail,MF,56.63,0,0
Iraq,Mustafa Saadoon,DF,32.29,0,0
Iraq,Frans Putros,DF,13.22,0,0
Norway,Ørjan Nyland,GK,31.61,1,0
Norway,Morten Thorsby,MF,62.6,0,0
Norway,Kristoffer Ajer,DF,43.51,1,0
Norway,Leo Østigård,DF,41.03,1,0
Norway,David Møller Wolfe,DF,38.27,1,0
Norway,Patrick Berg,MF,65.64,1,0
Norway,Alexander Sørloth,FW,104.04,1,0
Norway,Sander Berge,MF,70.54,1,0
Norway,Erling Haaland,FW,106.16,1,1
Norway,Martin Ødegaard,MF,72.99,1,0
Norway,Jørgen Strand Larsen,FW,97.14,0,0
Norway,Sander Tangvik,GK,24.88,0,0
Norway,Egil Selvik,GK,24.51,0,0
Norway,Fredrik Aursnes,MF,64.28,0,0
Norway,Fredrik André Bjørkan,DF,12.7,0,0
Norway,Marcus Holmgren Pedersen,DF,13.96,0,0
Norway,Torbjørn Heggem,DF,37.96,0,0
Norway,Kristian Thorstvedt,MF,66.45,1,0
Norway,Thelo Aasgaard,MF,60.76,0,0
Norway,Antonio Nusa,FW,96.54,0,0
Norway,Andreas Schjelderup,MF,64.15,0,0
Norway,Oscar Bobb,MF,65.25,0,0
Norway,Jens Petter Hauge,MF,63.18,0,0
Norway,Sondre Langås,DF,34.71,0,0
Norway,Henrik Falchener,DF,35.11,0,0
Norway,Julian Ryerson,FW,97.6,1,0
Senegal,Yehvann Diouf,GK,26.48,0,0
Senegal,Mamadou Sarr,DF,37.93,0,0
Senegal,Kalidou Koulibaly,DF,45.04,1,0
Senegal,Abdoulaye Seck,DF,34.63,0,0
Senegal,Idrissa Gueye,MF,67.48,1,0
Senegal,Pathé Ciss,MF,61.82,0,0
Senegal,Assane Diao,FW,93.18,0,0
Senegal,Lamine Camara,MF,68.56,1,0
Senegal,Bamba Dieng,FW,94.43,0,0
Senegal,Sadio Mané,FW,104.63,1,1
Senegal,Nicolas Jackson,FW,98.01,0,0
Senegal,Cherif Ndiaye,FW,92.44,0,0
Senegal,Iliman Ndiaye,FW,98.87,1,0
Senegal,Ismail Jakobs,DF,39.04,0,0
Senegal,Krépin Diatta,DF,42.86,1,0
Senegal,Édouard Mendy,GK,32.46,1,0
Senegal,Pape Matar Sarr,MF,68.29,1,0
Senegal,Ismaïla Sarr,FW,105.37,1,0
Senegal,Moussa Niakhaté,DF,40.17,1,0
Senegal,Ibrahim Mbaye,FW,94.19,0,0
Senegal,Habib Diarra,MF,66.18,0,0
Senegal,Bara Sapoko Ndiaye,MF,59.46,0,0
Senegal,Mory Diaw,GK,23.57,0,0
Senegal,Antoine Mendy,DF,36.55,0,0
Senegal,El Hadji Malick Diouf,DF,40.03,0,0
Senegal,Pape Gueye,MF,69.22,1,0
Algeria,Melvin Mastil,GK,21.02,0,0
Algeria,Aïssa Mandi,DF,43.59,1,0
Algeria,Achref Abada,DF,33.21,0,0
Algeria,Mohamed Amine Tougai,DF,36.58,0,0
Algeria,Zineddine Belaïd,DF,34.23,0,0
Algeria,Ramiz Zerrouki,MF,67.22,1,0
Algeria,Riyad Mahrez,FW,104.63,1,1
Algeria,Houssem Aouar,MF,64.27,0,0
Algeria,Amine Gouiri,FW,96.2,1,0
Algeria,Farès Chaïbi,MF,65.72,1,0
Algeria,Anis Hadj Moussa,FW,94.0,0,0
Algeria,Nadhir Benbouali,FW,87.91,0,0
Algeria,Jaouen Hadjam,DF,38.01,0,0
Algeria,Hicham Boudaoui,MF,65.06,0,0
Algeria,Rayan Aït-Nouri,DF,41.49,1,0
Algeria,Oussama Benbot,GK,1.25,0,0
Algeria,Rafik Belghali,DF,36.94,0,0
Algeria,Mohamed Amoura,FW,99.93,1,0
Algeria,Nabil Bentaleb,MF,68.18,1,0
Algeria,Adil Boulbina,FW,91.01,0,0
Algeria,Ramy Bensebaini,DF,46.71,1,0
Algeria,Ibrahim Maza,MF,65.64,1,0
Algeria,Luca Zidane,GK,23.98,1,0
Algeria,Yacine Titraoui,MF,35.62,0,0
Algeria,Farès Ghedjemis,FW,90.1,0,0
Algeria,Samir Chergui,DF,34.37,0,0
Argentina,Juan Musso,GK,25.25,0,0
Argentina,Leonardo Balerdi,DF,38.11,0,0
Argentina,Nicolás Tagliafico,DF,43.84,1,0
Argentina,Gonzalo Montiel,DF,39.68,0,0
Argentina,Leandro Paredes,MF,70.35,1,0
Argentina,Lisandro Martínez,DF,41.47,0,0
Argentina,Rodrigo De Paul,MF,71.69,1,0
Argentina,Valentín Barco,MF,63.5,0,0
Argentina,Julián Alvarez,FW,102.43,1,0
Argentina,Lionel Messi,FW,105.85,1,1
Argentina,Giovani Lo Celso,MF,69.75,0,0
Argentina,Gerónimo Rulli,GK,26.85,0,0
Argentina,Cristian Romero,DF,44.95,1,0
Argentina,Exequiel Palacios,MF,66.97,0,0
Argentina,Nicolás González,MF,42.54,0,0
Argentina,Thiago Almada,FW,94.16,0,0
Argentina,Giuliano Simeone,FW,94.51,0,0
Argentina,Nico Paz,FW,95.25,0,0
Argentina,Nicolás Otamendi,DF,43.82,0,0
Argentina,Alexis Mac Allister,MF,70.71,1,0
Argentina,José Manuel López,FW,92.64,0,0
Argentina,Lautaro Martínez,FW,108.01,1,0
Argentina,Emiliano Martínez,GK,33.42,1,0
Argentina,Enzo Fernández,MF,70.62,1,0
Argentina,Facundo Medina,DF,37.61,0,0
Argentina,Nahuel Molina,DF,43.86,1,0
Austria,Alexander Schlager,GK,27.44,1,0
Austria,David Affengruber,DF,35.76,0,0
Austria,Kevin Danso,DF,40.87,0,0
Austria,Xaver Schlager,MF,68.02,1,0
Austria,Stefan Posch,DF,42.55,1,0
Austria,Nicolas Seiwald,MF,68.31,1,0
Austria,Marko Arnautović,FW,102.98,1,1
Austria,David Alaba,DF,47.4,1,0
Austria,Marcel Sabitzer,MF,74.39,1,0
Austria,Florian Grillitsch,MF,65.99,0,0
Austria,Michael Gregoritsch,FW,100.13,1,0
Austria,Florian Wiegele,GK,24.5,0,0
Austria,Patrick Pentz,GK,26.61,0,0
Austria,Saša Kalajdžić,FW,92.57,0,0
Austria,Philipp Lienhart,DF,41.55,1,0
Austria,Phillipp Mwene,DF,36.48,0,0
Austria,Carney Chukwuemeka,MF,62.51,0,0
Austria,Romano Schmid,MF,66.34,1,0
Austria,Konrad Laimer,MF,71.29,1,0
Austria,Patrick Wimmer,FW,94.94,0,0
Austria,Alexander Prass,MF,62.99,0,0
Austria,Marco Friedl,DF,37.17,0,0
Austria,Paul Wanner,MF,62.44,0,0
Austria,Michael Svoboda,DF,34.37,0,0
Austria,Alessandro Schöpf,MF,62.44,0,0
Jordan,Yazeed Abulaila,GK,30.47,1,0
Jordan,Mohammad Abu Hashish,DF,17.03,0,0
Jordan,Abdallah Nasib,DF,39.25,1,0
Jordan,Husam Abu Dahab,DF,32.54,0,0
Jordan,Yazan Al-Arab,DF,42.57,1,0
Jordan,Amer Jamous,MF,58.46,1,0
Jordan,Mohammad Abu Zrayq,FW,70.59,0,0
Jordan,Noor Al-Rawabdeh,MF,64.81,1,0
Jordan,Ali Olwan,FW,98.53,1,1
Jordan,Musa Al-Taamari,FW,77.99,0,0
Jordan,Odeh Al-Fakhouri,FW,66.24,0,0
Jordan,Nour Bani Attiah,GK,1.5,0,0
Jordan,Mahmoud Al-Mardi,FW,96.49,1,0
Jordan,Rajaei Ayed,MF,64.23,1,0
Jordan,Ibrahim Sadeh,MF,42.6,0,0
Jordan,Mo Abualnadi,DF,12.1,0,0
Jordan,Salim Obaid,DF,11.24,0,0
Jordan,Ibrahim Sabra,FW,87.25,0,0
Jordan,Saed Al-Rosan,DF,33.76,1,0
Jordan,Mohannad Abu Taha,MF,59.85,1,0
Jordan,Nizar Al-Rashdan,MF,62.89,1,0
Jordan,Abdallah Al-Fakhouri,GK,22.26,0,0
Jordan,Ihsan Haddad,DF,20.35,0,0
Jordan,Ali Azaizeh,FW,84.91,0,0
Jordan,Mohammad Al-Dawoud,MF,55.79,0,0
Jordan,Anas Badawi,DF,29.66,0,0
Colombia,David Ospina,GK,30.44,1,0
Colombia,Daniel Muñoz,DF,43.31,1,0
Colombia,Jhon Lucumí,DF,41.75,1,0
Colombia,Santiago Arias,DF,40.7,0,0
Colombia,Kevin Castaño,MF,62.79,0,0
Colombia,Richard Ríos,MF,66.56,1,0
Colombia,Luis Díaz,FW,105.78,1,0
Colombia,Jorge Carrascal,MF,64.52,0,0
Colombia,Jhon Córdoba,FW,94.17,0,0
Colombia,James Rodríguez,MF,72.17,1,1
Colombia,Jhon Arias,MF,66.93,1,0
Colombia,Camilo Vargas,GK,26.91,0,0
Colombia,Yerry Mina,DF,41.94,1,0
Colombia,Gustavo Puerta,DF,35.54,0,0
Colombia,Juan Portilla,MF,60.81,0,0
Colombia,Jefferson Lerma,MF,69.03,1,0
Colombia,Johan Mojica,DF,38.73,0,0
Colombia,Willer Ditta,DF,35.34,0,0
Colombia,Cucho Hernández,FW,92.99,0,0
Colombia,Juan Fernando Quintero,MF,65.35,1,0
Colombia,Jaminton Campaz,FW,91.09,0,0
Colombia,Deiver Machado,DF,34.91,0,0
Colombia,Davinson Sánchez,DF,47.11,1,0
Colombia,Álvaro Montero,GK,25.95,0,0
Colombia,Luis Suárez,FW,94.57,0,0
Colombia,Andrés Gómez,FW,92.08,0,0
Congo DR,Lionel Mpasi,GK,4.46,0,0
Congo DR,Aaron Wan-Bissaka,DF,37.81,1,0
Congo DR,Steve Kapuadi,DF,34.08,0,0
Congo DR,Axel Tuanzebe,DF,36.53,0,0
Congo DR,Dylan Batubinsika,DF,33.5,0,0
Congo DR,Ngal'ayel Mukau,MF,63.06,0,0
Congo DR,Nathanaël Mbuku,MF,60.9,0,0
Congo DR,Samuel Moutoussamy,MF,64.46,1,0
Congo DR,Brian Cipenga,FW,89.09,0,0
